Autor,conteo,porcentaje
Julio Verne,51,0.2152
Jennifer L. Armentrout,13,0.0549
Marissa Meyer,13,0.0549
Alice Oseman,9,0.0380
Julia Quinn,6,0.0253
V. E. Schwab,6,0.0253
Samantha Young,6,0.0253
Colleen Hoover,5,0.0211
Becca Fitzpatrick,5,0.0211
Jessica Sorensen,4,0.0169
Becky Albertalli,4,0.0169
Adam Silvera,4,0.0169
Romina Russell,4,0.0169
Jane Austen,4,0.0169
Maggie Stiefvater,4,0.0169
Esther Sanz,4,0.0169
T.J. Klune,4,0.0169
Kiersten White,3,0.0127
Rebecca Yarros,3,0.0127
Brandon Sanderson,3,0.0127
Taylor Jenkins Reid,3,0.0127
Sophie Jordan,3,0.0127
Ali Hazelwood,3,0.0127
Julie James,3,0.0127
Elle Kennedy,3,0.0127
Alice Kellen,3,0.0127
Casey McQuiston,2,0.0084
ElleKennedy,2,0.0084
Sara Holland,2,0.0084
Black Holly,2,0.0084
S.C. Stephens,2,0.0084
Mackenzi Lee,2,0.0084
Lauren Oliver,2,0.0084
Nicola Yoon,2,0.0084
Kelly Oram,2,0.0084
Marcus Joana,2,0.0084
Soman Chainani,2,0.0084
Victoria Schwab,2,0.0084
Javier Ruescas,2,0.0084
Kasie West,2,0.0084
Alexandra Christo,1,0.0042
Alyssa Wees,1,0.0042
April Genevieve Tucholke,1,0.0042
Amie Kaufman,1,0.0042
Cathy Hopkins,1,0.0042
Brandy Colbert,1,0.0042
Michelle Hodkin,1,0.0042
Nicholas Sparks,1,0.0042
Melinda Taub,1,0.0042
Leah Konen,1,0.0042
Meg Haston,1,0.0042
Meg Wolitzer,1,0.0042
J.J.  Johnson,1,0.0042
Gloria V. Casañas,1,0.0042
Elizabeth Wein,1,0.0042
Emma Straub,1,0.0042
Claudia Ramírez Lomelí,1,0.0042
Jorge Díaz,1,0.0042
Katharine Ashe,1,0.0042
Kerri Maniscalco,1,0.0042
Rachel Cohn,1,0.0042
Rebecca   Ross,1,0.0042
Tahereh Mafi,1,0.0042
Tessa Bailey,1,0.0042
Sarah Tolcser,1,0.0042
Stephanie Garber,1,0.0042
Stephanie Perkins,1,0.0042
Susan Elizabeth Phillips,1,0.0042
Antoine De Saint-exupery,1,0.0042
Adrienne Young,1,0.0042
C.S. Pacat,1,0.0042
Ernshaw Shea,1,0.0042
Colleen Hoove,1,0.0042
Erin Sterling,1,0.0042
O Leary Beth,1,0.0042
Belen Kaplan,1,0.0042
