FechaPrimeraPublicacion,conteo,porcentaje
2018-01-01,24,0.1013
2015-01-01,20,0.0844
2016-01-01,20,0.0844
2017-01-01,15,0.0633
2012-01-01,15,0.0633
2014-01-01,14,0.0591
2020-01-01,12,0.0506
2013-01-01,11,0.0464
2021-01-01,9,0.0380
2011-01-01,9,0.0380
2019-01-01,8,0.0338
2010-01-01,5,0.0211
1865-01-01,4,0.0169
2022-01-01,4,0.0169
1877-01-01,3,0.0127
1892-01-01,2,0.0084
1890-01-01,2,0.0084
1885-01-01,2,0.0084
1884-01-01,2,0.0084
1894-01-01,2,0.0084
2024-01-01,2,0.0084
2000-01-01,2,0.0084
1867-01-01,2,0.0084
1910-01-01,2,0.0084
1879-01-01,2,0.0084
1882-01-01,2,0.0084
1869-01-01,2,0.0084
2023-01-01,2,0.0084
1903-01-01,1,0.0042
1896-01-01,1,0.0042
2009-01-01,1,0.0042
1893-01-01,1,0.0042
1980-01-01,1,0.0042
1888-01-01,1,0.0042
1895-01-01,1,0.0042
1889-01-01,1,0.0042
1897-01-01,1,0.0042
1880-01-01,1,0.0042
1899-01-01,1,0.0042
1863-01-01,1,0.0042
1873-01-01,1,0.0042
1901-01-01,1,0.0042
1886-01-01,1,0.0042
1900-01-01,1,0.0042
1851-01-01,1,0.0042
1878-01-01,1,0.0042
1876-01-01,1,0.0042
1891-01-01,1,0.0042
1887-01-01,1,0.0042
1881-01-01,1,0.0042
2004-01-01,1,0.0042
2003-01-01,1,0.0042
1864-01-01,1,0.0042
1871-01-01,1,0.0042
1987-01-01,1,0.0042
2007-01-01,1,0.0042
1977-01-01,1,0.0042
2002-01-01,1,0.0042
2025-01-01,1,0.0042
1943-01-01,1,0.0042
2008-01-01,1,0.0042
1814-01-01,1,0.0042
1813-01-01,1,0.0042
1817-01-01,1,0.0042
1811-01-01,1,0.0042
2001-01-01,1,0.0042
