FechaPrimeraPublicacion,Genero,conteo,porcentaje
1811-01-01,Clásico,1,0.42
1813-01-01,Clásico,1,0.42
1814-01-01,Clásico,1,0.42
1817-01-01,Clásico,1,0.42
1851-01-01,Clásico,1,0.42
1863-01-01,Clásico,1,0.42
1864-01-01,Clásico,1,0.42
1865-01-01,Clásico,4,1.69
1867-01-01,Clásico,2,0.84
1869-01-01,Clásico,2,0.84
1871-01-01,Clásico,1,0.42
1873-01-01,Clásico,1,0.42
1876-01-01,Clásico,1,0.42
1877-01-01,Clásico,3,1.27
1878-01-01,Clásico,1,0.42
1879-01-01,Clásico,2,0.84
1880-01-01,Clásico,1,0.42
1881-01-01,Clásico,1,0.42
1882-01-01,Clásico,2,0.84
1884-01-01,Clásico,2,0.84
1885-01-01,Clásico,2,0.84
1886-01-01,Clásico,1,0.42
1887-01-01,Clásico,1,0.42
1888-01-01,Clásico,1,0.42
1889-01-01,Clásico,1,0.42
1890-01-01,Clásico,2,0.84
1891-01-01,Clásico,1,0.42
1892-01-01,Clásico,2,0.84
1893-01-01,Clásico,1,0.42
1894-01-01,Clásico,2,0.84
1895-01-01,Clásico,1,0.42
1896-01-01,Clásico,1,0.42
1897-01-01,Clásico,1,0.42
1899-01-01,Clásico,1,0.42
1900-01-01,Clásico,1,0.42
1901-01-01,Clásico,1,0.42
1903-01-01,Clásico,1,0.42
1910-01-01,Clásico,2,0.84
1943-01-01,Clásico,1,0.42
1977-01-01,Clásico,1,0.42
1980-01-01,Clásico,1,0.42
1987-01-01,Ficción,1,0.42
2000-01-01,Ficción Histórica,2,0.84
2001-01-01,Ficción Histórica,1,0.42
2002-01-01,Ficción Histórica,1,0.42
2003-01-01,Ficción Histórica,1,0.42
2004-01-01,Ficción Histórica,1,0.42
2007-01-01,Ficción,1,0.42
2008-01-01,Contemporaneo,1,0.42
2009-01-01,Fantasia,1,0.42
2010-01-01,Contemporaneo,2,0.84
2010-01-01,Fantasia,2,0.84
2010-01-01,Ciencia Ficción,1,0.42
2011-01-01,Fantasia,7,2.95
2011-01-01,Contemporaneo,1,0.42
2011-01-01,Paranormal,1,0.42
2012-01-01,Fantasia,6,2.53
2012-01-01,Contemporaneo,5,2.11
2012-01-01,Ciencia Ficción,2,0.84
2012-01-01,Ficción Histórica,1,0.42
2012-01-01,Misterio,1,0.42
2013-01-01,Fantasia,5,2.11
2013-01-01,Contemporaneo,4,1.69
2013-01-01,Ciencia Ficción,1,0.42
2013-01-01,Ficción Histórica,1,0.42
2014-01-01,Contemporaneo,5,2.11
2014-01-01,Fantasia,3,1.27
2014-01-01,Ciencia Ficción,2,0.84
2014-01-01,Realismo Mágico,2,0.84
2014-01-01,Ficción,1,0.42
2014-01-01,Misterio,1,0.42
2015-01-01,Contemporaneo,7,2.95
2015-01-01,Ciencia Ficción,4,1.69
2015-01-01,Misterio,4,1.69
2015-01-01,Fantasia,2,0.84
2015-01-01,Paranormal,2,0.84
2015-01-01,Ficción,1,0.42
2016-01-01,Contemporaneo,8,3.38
2016-01-01,Fantasia,6,2.53
2016-01-01,Ficción Histórica,2,0.84
2016-01-01,Ciencia Ficción,1,0.42
2016-01-01,Misterio,1,0.42
2016-01-01,Paranormal,1,0.42
2016-01-01,Realismo Mágico,1,0.42
2017-01-01,Contemporaneo,7,2.95
2017-01-01,Fantasia,3,1.27
2017-01-01,Ciencia Ficción,2,0.84
2017-01-01,Realismo Mágico,2,0.84
2017-01-01,Novela Gráfica,1,0.42
2018-01-01,Fantasia,10,4.22
2018-01-01,Contemporaneo,6,2.53
2018-01-01,Novela Gráfica,3,1.27
2018-01-01,Ficción Histórica,2,0.84
2018-01-01,Realismo Mágico,2,0.84
2018-01-01,Ciencia Ficción,1,0.42
2019-01-01,Contemporaneo,3,1.27
2019-01-01,Fantasia,2,0.84
2019-01-01,Novela Gráfica,2,0.84
2019-01-01,Ciencia Ficción,1,0.42
2020-01-01,Fantasia,4,1.69
2020-01-01,Contemporaneo,3,1.27
2020-01-01,Realismo Mágico,3,1.27
2020-01-01,Novela Gráfica,2,0.84
2021-01-01,Fantasia,3,1.27
2021-01-01,Contemporaneo,2,0.84
2021-01-01,Ficción,2,0.84
2021-01-01,Novela Gráfica,2,0.84
2022-01-01,Contemporaneo,2,0.84
2022-01-01,Fantasia,2,0.84
2023-01-01,Contemporaneo,1,0.42
2023-01-01,Fantasia,1,0.42
2024-01-01,Fantasia,2,0.84
2025-01-01,Fantasia,1,0.42
