Genero,Subgenero,conteo,porcentaje
Contemporaneo,Romance,53,22.36
Clásico,Aventura,51,21.52
Fantasia,Paranormal,20,8.44
Fantasia,Aventura,18,7.59
Fantasia,Misterio,12,5.06
Novela Gráfica,Romance,8,3.38
Fantasia,Romance,8,3.38
Ficción Histórica,Romance,8,3.38
Ciencia Ficción,Retellings,6,2.53
Ficción,Romance,5,2.11
Misterio,Thriller,4,1.69
Clásico,Romance,4,1.69
Realismo Mágico,Romance,4,1.69
Ciencia Ficción,Distopia,4,1.69
Ciencia Ficción,Aventura,3,1.27
Paranormal,Misterio,3,1.27
Misterio,Romance,3,1.27
Realismo Mágico,Misterio,2,0.84
Novela Gráfica,Retellings,2,0.84
Ficción Histórica,Misterio,2,0.84
Realismo Mágico,Aventura,2,0.84
Ciencia Ficción,Romance,2,0.84
Contemporaneo,Misterio,2,0.84
Ficción Histórica,Fantasia,2,0.84
Clásico,Fantasia,1,0.42
Fantasia,,1,0.42
Fantasia,Retellings,1,0.42
Contemporaneo,Tragedia,1,0.42
Contemporaneo,Historico,1,0.42
Ficción,Aventura,1,0.42
Paranormal,Fantasia,1,0.42
Realismo Mágico,Fantasia,1,0.42
Realismo Mágico,Paranormal,1,0.42
